銘柄コード,企業名,業種,時価総額(億円),値下がり率,現在株価,反転確率,指値,逆指値
6237,イワキポンプ,機械,945.0,-9.46%,4260.0,54.6%,4686.0,4132.0
6976,太陽誘電,電気機器,12928.0,-8.76%,10305.0,55.8%,11336.0,9996.0
3763,プロシップ,情報・通信業,594.0,-7.79%,2308.0,50.9%,2539.0,2239.0
5074,テスホールディングス,建設業,451.0,-7.0%,638.0,65.1%,702.0,619.0
6981,村田製作所,電気機器,141147.0,-6.47%,7754.0,49.9%,8529.0,7521.0
3963,シンクロ・フード,情報・通信業,98.0,-6.43%,349.0,44.7%,384.0,339.0
268A,リガク・ホールディングス,精密機器,4530.0,-5.26%,2000.0,55.8%,2200.0,1940.0
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,20643.0,-5.09%,8832.0,49.8%,9715.0,8567.0
3660,アイスタイル,情報・通信業,534.0,-4.82%,533.0,49.2%,586.0,517.0
2802,味の素,食料品,51995.0,-4.65%,5455.0,47.1%,6001.0,5291.0
3110,日東紡績,ガラス・土石製品,5961.0,-4.51%,3285.0,55.2%,3614.0,3186.0
7383,ネットプロテクションズホールディングス,その他金融業,424.0,-4.48%,426.0,44.3%,469.0,413.0
6324,ハーモニック・ドライブ・システムズ,機械,5860.0,-4.45%,6220.0,48.9%,6842.0,6033.0
4182,三菱瓦斯化学,化学,7893.0,-4.28%,4045.0,50.2%,4450.0,3924.0
6134,ＦＵＪＩ,機械,7196.0,-4.23%,8199.0,49.6%,9019.0,7953.0
7762,シチズン時計,精密機器,6554.0,-4.18%,2684.0,49.5%,2952.0,2603.0
4902,コニカミノルタ,電気機器,3180.0,-4.06%,643.5,48.4%,708.0,624.0
4971,メック,化学,1395.0,-4.02%,7650.0,58.3%,8415.0,7420.0
8035,東京エレクトロン,電気機器,262334.0,-4.01%,57680.0,49.2%,63448.0,55950.0
285A,キオクシアホールディングス,電気機器,325007.0,-3.91%,59420.0,50.0%,65362.0,57637.0
